CID,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,Score
1192,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,3
1193,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,6
1194,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,6
1195,1,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,4
1196,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,4
1197,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,4
1198,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,4
1199,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,5
1200,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,7
1201,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,6
1202,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,4
1203,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,5
1204,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,4
1205,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,4
1206,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,5
1207,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,6
1208,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,8
1209,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,9
1210,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,6
1211,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,6
1212,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,5
1213,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,6
1214,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,6
1215,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,6
1216,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,7
1217,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,5
1218,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,5
1219,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,3
1220,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,6
1221,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,5
1222,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,5
1223,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,6
1224,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,2
1225,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,7
1226,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,4
1227,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,6
1228,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,4
1229,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,2
1230,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,8
1231,0,0,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,7
1232,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,6
1233,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,6
1234,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,7
1235,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,6
1236,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,7
1237,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,5
1238,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,7
1239,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,7
1240,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,5
1241,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,5
1242,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,6
1243,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,8
1244,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,7
1245,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,6
1246,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,4
1247,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,5
1248,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,7
1249,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,7
1250,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,5
1251,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,5
1252,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,4
1253,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,7
1254,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,9
1255,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,6
1256,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,7
1257,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,8
1258,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,5
1259,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,5
1260,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,4
1261,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,7
1262,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,5
1263,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,4
1264,1,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,5
1265,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,5
1266,0,1,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,1,7
1267,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,7
1268,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,7
1269,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1,7
1270,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,8
1271,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,3
1272,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,3
1273,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,5
1274,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,5
1275,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,7
1276,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,3
1277,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,4
1278,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,5
1279,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,8
1280,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,3
1281,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,7
1282,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,4
1283,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,5
1284,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,7
1285,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,7
1286,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,6
1287,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2
1288,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,6
1289,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,6
1290,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,6
1291,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,8
1292,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,4
1293,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,6
1294,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,1,7
1295,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,2
1296,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,5
1297,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,2
1298,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,6
1299,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,6
1300,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,3
1301,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,5
1302,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,5
1303,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,6
1304,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,6
1305,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,3
1306,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,6
1307,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,7
1308,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,7
1309,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,6
1310,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,6
1311,1,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,7
1312,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,5
1313,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,6
1314,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,6
1315,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,7
1316,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,6
1317,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,4
1318,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,5
1319,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,6
1320,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,7
1321,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,5
1322,0,1,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,7
1323,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,6
1324,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,4
1325,1,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,5
1326,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,3
1327,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,6
1328,1,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,6
1329,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,8
1330,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,4
1331,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,9
1332,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,8
1333,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,0,7
1334,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,1,0,4
1335,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,4
1336,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,6
1337,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,5
1338,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,6
1339,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,5
1340,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,7
1341,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,7
1342,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,6
1343,1,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,1,5
1344,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,5
1345,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,5
1346,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,5
1347,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,4
1348,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,6
1349,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,5
1350,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,5
1351,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,7
1352,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,6
1353,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,6
1354,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,7
1355,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,4
1356,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,6
1357,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,5
1358,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,5
1359,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,6
1360,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,3
1361,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,7
1362,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,1,7
1363,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,4
1364,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,8
1365,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,9
1366,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,5
1367,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,6
1368,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,3
1369,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,4
1370,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,3
1371,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,5
1372,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,8
1373,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,6
1374,0,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,7
1375,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,5
1376,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,5
1377,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,2
1378,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,1,0,5
1379,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,6
1380,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,7
1381,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,4
1382,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,5
1383,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,1,9
1384,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,0,5
1385,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,6
1386,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,7
1387,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,6
1388,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,5
1389,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,3
1390,0,1,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,8
1391,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,3
1392,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,5
1393,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,3
1394,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,7
1395,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,5
1396,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,7
1397,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,6
1398,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,3
1399,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,4
1400,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,0,1,7
1401,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,3
1402,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3
1403,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,5
1404,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,7
1405,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,8
1406,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,3
1407,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,7
1408,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,1,5
1409,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,5
1410,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,4
1411,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,4
1412,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,6
1413,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0,1,4
1414,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,8
1415,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,4
1416,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,8
1417,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,3
1418,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,6
1419,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,6
1420,0,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,7
1421,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,6
1422,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,8
1423,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,4
1424,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,2
1425,0,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,6
1426,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,9
1427,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,4
1428,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,3
1429,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,3
1430,1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,7
1431,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,6
1432,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,9
1433,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,6
1434,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,7
1435,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,6
1436,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,5
1437,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,8
1438,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0,1,4
1439,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,6
1440,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,3
1441,0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,7
1442,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,5
1443,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,4
1444,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,4
1445,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,5
1446,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,4
1447,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,7
1448,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,4
1449,1,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,5
1450,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,4
1451,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,4
1452,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,6
1453,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,7
1454,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,8
1455,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1,1,4
1456,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5
1457,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,4
1458,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,5
1459,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,3
1460,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,6
1461,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,7
1462,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,9
1463,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,3
1464,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,6
1465,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,4
1466,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,1,1,4
1467,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,4
1468,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,4
1469,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,2
1470,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,6
1471,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,3
1472,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,5
1473,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,6
1474,0,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,8
1475,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,5
1476,0,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,0,8
1477,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,4
1478,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,6
1479,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,4
1480,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,3
1481,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,7
1482,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,6
1483,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,5
1484,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,8
1485,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,7
1486,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,2
1487,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,4
1488,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,6
1489,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,9
1490,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,4
1491,0,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,8
1492,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,5
1493,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,5
1494,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,4
1495,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,6
1496,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,1,6
1497,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,3
1498,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,6
1499,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,6
1500,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,5
1501,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,4
1502,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,2
1503,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,5
1504,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,6
1505,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,6
1506,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,5
1507,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,6
1508,0,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,8
1509,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,8
1510,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,4
1511,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,2
1512,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,9
1513,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,5
1514,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,4
1515,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,8
1516,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,9
1517,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,5
1518,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,3
1519,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,6
1520,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,3
1521,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,4
1522,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,6
1523,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,4
1524,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,6
1525,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,6
1526,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,8
1527,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,5
1528,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,3
1529,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,6
1530,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,6
1531,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,4
